CloseReason;EmployeeCount;GeographyKey;SellingAreaSize;Status;StoreKey;StoreName;StoreType
;19.0;424;455;On;4;Contoso Bellevue Store;Store
;26.0;449;680;On;156;Contoso Cambridge Store;Store
;19.0;453;455;On;88;Contoso Cedar Park Store;Store
;25.0;501;680;On;214;Contoso Leeds Store;Store
;17.0;506;462;On;201;Contoso London Store;Store
;12.0;529;680;On;215;Contoso Paris Store;Store
;12.0;529;551;On;309;Contoso Europe Reseller;Reseller
;25.0;551;700;On;17;Contoso Spokane Store;Store
;20.0;558;480;On;253;Contoso Sydney No.1 Store;Store
;95.0;558;480;On;300;Contoso Sydney  No.2 Store;Store
;95.0;562;480;On;289;Contoso Vancouver  No.1 Store;Store
;95.0;562;480;On;290;Contoso Vancouver  No.2 Store;Store
;22.0;571;500;On;22;Contoso Westminster Store;Store
;47.0;575;1125;On;6;Contoso Yakima Store;Store
;78.0;576;680;On;204;Contoso York Store;Store
;26.0;579;680;On;79;Contoso Baytown Store;Store
;13.0;586;500;On;228;Contoso Berlin Store;Store
;7.0;586;1000;On;306;Contoso Europe Online Store;Online
;95.0;598;480;On;291;Contoso Calgary  Store;Store
;17.0;627;462;On;16;Contoso Everett Store;Store
;64.0;651;680;On;212;Contoso Liverpool Store;Store
;33.0;677;560;On;5;Contoso Redmond Store;Store
;22.0;678;500;On;15;Contoso Renton Store;Store
;17.0;693;462;On;1;Contoso Seattle No.1 Store;Store
;25.0;693;700;On;2;Contoso Seattle No.2 Store;Store
;15.0;693;450;On;308;Contoso North America Reseller;Reseller
;68.0;708;480;On;264;Contoso Ashgabat No.1 Store;Store
;95.0;708;480;On;298;Contoso Ashgabat  No.2 Store;Store
;62.0;709;480;On;262;Contoso Bangkok No.1 Store;Store
;95.0;709;480;On;296;Contoso Bangkok No.2 Store;Store
;86.0;710;480;On;279;Contoso Beijing Store;Store
;8.0;710;93800;On;307;Contoso Asia Online Store;Online
;17.0;710;93800;On;310;Contoso Asia Reseller;Reseller
;50.0;711;480;On;276;Contoso Bishkek Store;Store
;50.0;712;480;On;275;Contoso Busan Store;Store
;28.0;713;480;On;252;Contoso Canberra Store;Store
;35.0;714;480;On;261;Contoso Damascus No.1 Store;Store
;95.0;714;480;On;295;Contoso Damascus No.2 Store;Store
;131.0;715;480;On;280;Contoso Guangzhou Store;Store
;35.0;716;480;On;259;Contoso Hong Kong No.1 Store;Store
;95.0;716;480;On;293;Contoso Hong Kong No.2 Store;Store
;71.0;717;480;On;265;Contoso Islamabad No.1 Store;Store
;95.0;717;480;On;299;Contoso Islamabad  No.2 Store;Store
;35.0;718;480;On;257;Contoso Kolkata Store;Store
;50.0;719;480;On;273;Contoso Kyoto Store;Store
;35.0;721;480;On;256;Contoso Mumbai Store;Store
;50.0;722;480;On;271;Contoso Nagoya Store;Store
;29.0;723;480;On;255;Contoso New Delhi Store;Store
;80.0;724;480;On;270;Contoso Osaka No.1 Store;Store
;95.0;724;480;On;301;Contoso Osaka No.2 Store;Store
;50.0;725;480;On;272;Contoso Sapporo Store;Store
;50.0;726;480;On;274;Contoso Seoul Store;Store
;95.0;727;480;On;277;Contoso Shanghai No.1 Store;Store
;95.0;727;480;On;281;Contoso Shanghai No.2 Store;Store
;27.0;728;480;On;251;Contoso Singapore Store;Store
;95.0;729;480;On;302;Contoso Taipei  Store;Store
;35.0;730;480;On;260;Contoso Tehran No.1 Store;Store
;95.0;730;480;On;294;Contoso Tehran No.2 Store;Store
;35.0;731;480;On;258;Contoso Thimphu No.1 Store;Store
;95.0;731;480;On;292;Contoso Thimphu No.2 Store;Store
;68.0;732;480;On;267;Contoso Tokyo No.1 Store;Store
;68.0;732;480;On;268;Contoso Tokyo No.2 Store;Store
;50.0;733;480;On;278;Contoso Urumqi Store;Store
;15.0;734;480;On;254;Contoso Yerevan Store;Store
;77.0;735;480;On;269;Contoso Yokohama Store;Store
;26.0;736;680;On;240;Contoso Amsterdam Store;Store
;15.0;737;680;On;250;Contoso Athens Store;Store
;32.0;738;680;On;209;Contoso Baildon Store;Store
;28.0;739;500;On;236;Contoso Baumholder Store;Store
;53.0;740;680;On;246;Contoso Berne Store;Store
;25.0;741;680;On;245;Contoso Bucharest Store;Store
;23.0;742;680;On;205;Contoso Carlisle Store;Store
;;743;680;On;210;Contoso Cheshire Store;Store
;25.0;745;680;On;241;Contoso Copenhagen Store;Store
;55.0;746;680;On;249;Contoso Dublin Store;Store
;24.0;747;500;On;234;Contoso Dusseldorf Store;Store
;25.0;748;700;On;202;Contoso Edinburgh Store;Store
;45.0;749;500;On;224;Contoso Firenze Store;Store
;15.0;750;500;On;237;Contoso Giebelstadt Store;Store
;26.0;751;680;On;203;Contoso Glasgow Store;Store
;25.0;752;500;On;231;Contoso Hofheim Store;Store
;24.0;753;680;On;213;Contoso Knotty Ash Store;Store
;25.0;754;500;On;230;Contoso koln No.2 Store;Store
;35.0;754;500;On;232;Contoso koln No.1 Store;Store
;36.0;755;680;On;207;Contoso Lancashire Store;Store
;21.0;756;500;On;233;Contoso Landstuhl Store;Store
;95.0;757;480;On;303;Contoso Lisbon Store;Store
;36.0;758;680;On;244;Contoso Ljubljana Store;Store
;15.0;759;680;On;217;Contoso Lyon Store;Store
;35.0;760;680;On;243;Contoso Madrid Store;Store
;11.0;761;680;On;206;Contoso Manchester Store;Store
;13.0;762;680;On;216;Contoso Marseille Store;Store
;23.0;763;500;On;226;Contoso Milan Store;Store
;65.0;764;480;On;263;Contoso Moscow  No.1 Store;Store
;95.0;764;480;On;297;Contoso Moscow  No.2 Store;Store
;18.0;765;500;On;239;Contoso Munich Store;Store
;11.0;766;680;On;220;Contoso Nantes Store;Store
;32.0;767;680;On;219;Contoso Nice Store;Store
;95.0;768;480;On;305;Contoso Nizhny Novgorod Store;Store
;29.0;769;500;On;238;Contoso obamberg Store;Store
;15.0;770;500;On;235;Contoso Ramstein Store;Store
